area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
Central Finland,Jämsä,Elisa,302,226,112,49.4,519,342,212,39.4,21,19,13,272.8,6,6,6,86.8,33,20,13,46.4,87,47,31,307.5,92,63,31,69.1,51,37,13,34.3
Southern Ostrobothnia,Järviseutu,Telia,42,32,25,56.3,258,149,72,42.3,0,0,0,0,0,0,0,0,12,7,4,37.7,3,2,2,143.7,13,9,3,77.7,15,11,4,62.5
Southern Savonia,Savonlinna,DNA,134,107,61,55.3,761,506,224,53,0,0,0,0,3,3,3,70.1,12,12,7,63.2,3,2,2,156.2,24,18,7,49.9,31,28,23,68
Southern Ostrobothnia,Härmänmaa,Telia,117,96,54,38.7,354,249,108,45.4,0,0,0,0,2,2,1,56.6,8,7,3,76.8,4,3,3,355.4,7,7,4,76.9,22,18,8,40.2
Central Finland,Viitasaari,Elisa,20,16,12,47.4,153,114,57,40.6,0,0,0,0,2,2,2,49.3,6,6,3,81.4,17,13,8,177.3,27,22,13,55.1,12,12,8,40.6
South Karelia,Lappeenranta,Elisa,560,407,230,53.5,2251,1309,543,56.4,3,3,2,151.3,14,11,5,162.1,101,79,35,71.3,63,56,30,183.7,123,81,39,67.4,171,113,54,51.7
Satakunta,Rauma,ALCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Savonia,Varkaus,Elisa,272,175,73,50.4,894,549,243,41.6,14,8,4,111.6,18,14,5,112.8,27,21,8,82.5,77,45,21,209.7,117,91,36,59.7,51,41,29,49.1
Northern Ostrobothnia,Oulu,Telia,1766,1327,747,52.4,4697,3178,1685,49.2,386,184,77,299.7,124,91,43,71,511,267,116,64.8,502,225,106,252.2,484,323,114,65.3,428,296,147,56.7
Tavastia Proper,Hämeenlinna,DNA,421,319,172,60.9,1401,871,361,56.4,25,23,12,281.4,38,27,12,49.3,58,24,15,67.1,119,59,32,353.4,94,71,30,60.6,70,55,34,62.2
