area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
Pirkanmaa,North Western Pirkanm,Telia,177,123,81,53.6,444,287,125,55.1,2,2,1,354.2,3,3,2,101.8,28,20,11,54.4,37,15,8,255.4,51,35,15,87.2,28,19,9,76.1
Southern Ostrobothnia,Järviseutu,Elisa,134,68,37,40.9,352,224,87,32.6,0,0,0,0,0,0,0,0,6,4,2,68.1,19,14,8,153.3,67,30,9,50.7,23,13,6,24.6
Southern Savonia,Mikkeli,Telia,409,298,161,39.3,1067,744,339,45.7,85,49,10,289.3,48,29,10,65.4,50,37,20,66.1,101,53,29,242.8,138,81,24,55.9,107,65,36,48.6
Central Finland,Jyväskylä,Telia,1325,1022,582,66.3,3027,2067,1094,58.8,222,150,60,347.1,89,56,33,89.7,224,148,74,83.4,454,237,111,286.8,336,237,97,74.3,229,172,83,56.6
Lapland,Tunturi Lapland,Elisa,342,283,209,51.8,550,406,295,53.1,86,69,50,163.3,14,10,8,45.6,45,32,24,58.9,147,90,64,258.6,81,65,46,56.4,44,30,22,52.8
Kymenlaakso,Kotka-Hamina,Telia,279,210,111,55.8,756,473,239,54.8,0,0,0,0,11,8,4,165,39,33,17,99.7,14,11,7,173.6,58,37,8,60.8,43,29,17,48.5
Finland Proper,Loimaa,DNA,230,161,75,43.6,617,384,155,56.4,17,9,5,300.5,22,15,7,62,23,14,9,53.9,42,18,10,318,33,28,15,86.3,69,58,19,33.6
Uusimaa,Ekenäs,Elisa,277,185,107,55.1,728,483,227,45.8,14,12,8,157.3,28,23,10,124.8,55,33,14,78.7,109,81,30,245.6,104,66,30,60.2,37,27,15,40.8
Leningrad Oblast,Vyborgsky District,MTS,2,2,2,43.7,31,25,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,77.5
Päijänne Tavastia,Lahti,Elisa,1654,1163,707,48.8,4302,2860,1594,42.2,239,159,80,151.4,44,35,25,52.9,209,154,92,67.9,649,366,182,212,741,504,181,54.8,317,216,113,37.9
Lapland,Northern Lapland,ALCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ostrobothnia,Siikalatva,Telia,41,36,21,53.1,127,108,62,46.3,0,0,0,0,1,1,1,16.8,17,15,4,50.3,1,1,1,177.4,4,4,4,36,4,3,3,45.8
Uusimaa,Helsinki,ALCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavastia Proper,Forssa,DNA,109,86,50,45,424,286,104,41.5,10,8,6,214.9,5,5,4,76.3,20,19,7,51,18,10,4,222.9,38,19,8,79.5,12,9,8,42.8
Lapland,Rovaniemi,DNA,192,150,79,80.1,577,422,223,73,0,0,0,0,26,16,6,100.2,41,26,10,94.1,14,14,11,205.2,33,26,14,75.6,58,36,20,61.9
Satakunta,Rauma,DNA,352,275,134,64.4,974,657,290,56.2,31,23,14,343.8,4,4,4,36.2,60,43,15,100.7,171,74,23,465,105,63,18,50,116,76,33,60.6
Southern Ostrobothnia,South Eastern Bothnia,DNA,64,37,21,56.9,414,164,77,70,0,0,0,0,3,3,2,40.6,9,7,3,32.7,8,7,4,307.2,24,20,7,78.7,23,19,7,58.7
North Karelia,Ilomantsi,Telia,7,7,5,32.8,17,13,9,56,0,0,0,0,0,0,0,0,1,1,1,9.3,1,1,1,145.1,17,13,1,69.2,5,4,2,50.1
Norrbotten,Övertorneå,Telia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Norrbotten,Haparanda,N4M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Karelia,Pielisen Karelia,Telia,99,79,46,34.4,275,190,110,56.8,0,0,0,0,0,0,0,0,7,6,6,65.3,1,1,1,171.8,5,4,2,89,11,9,6,50
North Karelia,Ilomantsi,DNA,13,9,6,36.7,26,20,12,70.5,0,0,0,0,1,1,1,117,0,0,0,0,0,0,0,0,1,1,1,3.9,8,7,2,20.8
Satakunta,Pori,Telia,376,286,147,49.5,912,594,274,50.7,52,36,11,229.1,15,11,4,86.3,58,42,23,61.1,48,37,17,283.7,38,29,16,61.9,49,38,28,65.8
North Karelia,Pielisen Karelia,Elisa,147,104,44,47.2,478,313,149,43.2,0,0,0,0,4,3,2,30,39,11,9,43.5,13,11,6,179,24,21,17,68.3,16,15,8,29.9
Lapland,Northern Lapland,Elisa,191,126,64,44.9,222,160,102,45.8,0,0,0,0,1,1,1,91.5,18,10,9,59.2,14,12,5,176.5,33,24,12,79.5,11,8,7,39.9
Northern Ostrobothnia,Koillismaa,DNA,172,135,104,55.3,661,419,227,53.5,0,0,0,0,19,15,11,62,20,18,12,154.5,5,4,4,146.7,37,19,14,66.9,45,32,19,53.5
Finnmark,Karasjok,Telia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Savonia,Juva,DNA,95,54,33,44.4,320,227,101,57.7,0,0,0,0,3,3,3,54.7,5,4,4,28.2,4,4,1,271.2,8,7,5,91.1,37,23,9,86.9
Uusimaa,Helsinki,Elisa,18473,13306,7158,56.9,36482,22393,10756,50.9,11320,3387,1168,208.1,2417,559,301,77,2130,1514,792,71.3,50871,5609,1959,281.6,9177,3625,1379,58.9,2112,1444,746,47.9
South Karelia,Western Saimaa,Elisa,82,61,39,33.5,386,294,136,36.1,0,0,0,0,3,2,1,67.1,6,3,3,39.7,18,13,7,189.2,49,44,12,40,13,11,8,32.1
Ostrobothnia,South Eastern Bothnia,Elisa,124,77,36,33.3,186,135,78,32.5,0,0,0,0,22,10,3,253.2,29,15,4,24.9,1,1,1,96.7,16,12,8,60.3,18,11,6,63
Northern Ostrobothnia,Ylivieska,DNA,192,145,76,61.6,890,590,258,56.5,32,18,8,332.7,21,13,8,80.6,18,16,5,161.4,96,48,13,272.3,263,119,17,69.6,52,33,16,64.1
Central Finland,South Eastern Middle,Elisa,84,65,39,42.6,358,223,98,41.5,0,0,0,0,2,2,2,81.4,9,8,4,30.4,6,5,5,164.6,73,43,12,38.7,5,4,4,32.1
Central Finland,Äänekoski,DNA,91,53,26,45.5,412,258,81,42.4,0,0,0,0,1,1,1,1.4,3,3,3,63.4,1,1,1,252.3,13,9,4,54.1,25,23,9,58.7
South Karelia,Imatra,DNA,219,152,65,57.7,744,494,189,50.7,0,0,0,0,13,5,4,56.5,18,14,6,66.1,8,8,5,208.9,21,18,7,82.6,48,29,16,50.8
Päijänne Tavastia,Lahti,Telia,694,510,309,46.1,1477,1054,559,44.7,66,42,24,385,82,48,20,83.9,93,73,42,57.9,194,92,45,297.9,136,89,42,50.5,143,110,58,48.5
Finland Proper,Salo,Telia,362,274,139,50.8,819,558,278,41.6,23,9,5,159,32,19,10,51.2,83,53,26,54.6,9,8,7,190.8,31,25,14,46.8,38,32,18,66.8
Pirkanmaa,South Western Pirkanm,DNA,103,67,31,33.9,201,148,79,46.6,0,0,0,0,1,1,1,28.7,6,6,4,45.2,20,11,4,362.6,50,25,7,75.7,70,50,7,66.1
Lapland,Kemi-Tornio,DNA,185,121,71,61.2,437,293,144,57.1,0,0,0,0,710,86,1,244.7,11,10,6,56.4,260,65,11,281.6,315,95,16,95.4,14,12,10,46.4
Central Ostrobothnia,Kokkola,DNA,177,116,73,47.7,510,344,164,47.8,4,4,3,216.9,4,4,1,61.2,16,13,9,64,33,21,9,363.6,69,50,15,54,27,24,19,80.5
North Karelia,Joensuu,DNA,396,277,128,64.4,1207,817,351,61.2,0,0,0,0,4,3,2,81.6,87,55,23,119.1,32,23,13,195.1,108,68,14,89,48,35,18,62.9
Central Ostrobothnia,Kokkola,Telia,155,115,68,47.6,486,330,179,43.6,11,7,4,293.2,7,5,2,116.9,22,14,8,54.5,20,17,10,235.6,46,32,13,68.2,29,22,14,51.5
Northern Ostrobothnia,Ylivieska,Telia,98,78,42,62.8,567,359,161,45,0,0,0,0,1,1,1,16.6,21,16,6,122.9,57,33,6,155.4,261,90,10,67.8,28,22,12,58.4
Kymenlaakso,Kotka-Hamina,ALCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland Proper,Vakka-Suomi,Elisa,339,131,57,39.4,527,333,173,41.3,0,0,0,0,1,1,1,40.4,34,21,8,100.6,7,6,6,150.7,67,45,15,50.7,77,44,24,48.1
Southern Savonia,Mikkeli,DNA,216,183,115,36.8,1102,720,293,35.5,0,0,0,0,45,28,7,53.2,84,62,21,54.6,4,4,2,213.4,79,43,16,49.1,138,89,38,49.7
Central Finland,South Eastern Middle,DNA,31,25,18,33.5,153,100,53,33.1,0,0,0,0,0,0,0,0,17,10,5,12.6,0,0,0,0,10,9,5,34.8,6,6,4,43.4
Lapland,Eastern Lapland,Telia,205,146,98,31.4,589,279,141,45.3,0,0,0,0,8,6,4,85.5,22,18,14,24.2,2,2,1,185,22,13,7,70,17,10,9,30.8
Pirkanmaa,Southern Pirkanmaa,Elisa,461,323,137,46.7,1030,671,330,37.9,18,14,8,176.4,24,20,9,67.4,30,19,9,25.1,70,48,25,249.5,85,68,30,56.5,59,43,25,48.8
Kainuu,Kehys-Kainuu,Telia,61,45,34,38,217,147,101,37.6,0,0,0,0,3,3,3,56.8,12,11,7,19.7,0,0,0,0,3,3,3,49,12,9,7,53.3
Pirkanmaa,Tampere,Telia,4247,3051,1663,62.9,8855,5140,2718,58.9,453,309,140,321.6,222,176,80,100.1,553,390,217,81,1049,525,237,277.3,1005,637,212,73.1,544,409,224,64.2
Central Finland,Keuruu,Elisa,44,32,23,30.5,531,276,129,33.6,0,0,0,0,0,0,0,0,1,1,1,97.2,1,1,1,187.2,18,14,7,42.3,18,10,9,31.2
Satakunta,South Eastern Satakun,Elisa,104,76,49,70.8,287,219,124,59.7,0,0,0,0,8,7,4,50.8,8,8,6,56.8,4,4,4,167.2,14,11,7,55,19,17,11,64.3
Finland Proper,Åboland-Turunmaa,ALCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,80.5
Central Finland,Jämsä,DNA,113,89,73,48.9,235,163,85,28.7,2,1,1,33.5,12,12,8,93.2,9,9,3,59,75,16,5,255.4,143,51,13,47.9,30,26,13,47.9
North Karelia,Middle Karelia,Elisa,95,49,24,32.7,286,216,84,45.2,0,0,0,0,2,2,2,137.3,3,2,2,87.6,22,18,4,132.6,64,42,8,61.2,16,11,7,28.8
Republic of Karelia,Loukhsky District,Tele2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satakunta,Rauma,Elisa,379,255,115,35.8,961,601,287,37.3,33,21,11,127,10,8,4,50.5,46,30,16,34.4,101,57,29,256.3,124,83,38,48.1,48,43,22,35.6
Ostrobothnia,Vaasa,Telia,614,439,239,51.9,1247,843,377,48.6,78,55,26,377.1,39,29,14,108.7,50,41,26,63.6,97,70,32,378.1,103,72,31,83.1,94,71,40,46.9
Troms,Storfjord,Telia,1,1,1,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kainuu,Kehys-Kainuu,Elisa,28,25,23,37.8,253,176,87,33.1,0,0,0,0,24,11,5,45.1,7,5,5,50.6,2,2,2,145.6,21,11,8,69.9,19,13,10,38.9
North Savonia,Varkaus,Telia,242,174,87,54,697,460,192,47.9,0,0,0,0,1,1,1,26.1,29,23,13,70.1,6,5,3,271.8,41,28,8,53.7,103,81,32,44.4
Kainuu,Kajaani,DNA,309,225,127,59.7,989,652,321,60.7,0,0,0,0,2,2,2,118.3,54,46,17,60.9,51,21,14,203.4,126,76,21,76.2,96,78,39,57.6
North Savonia,Upper Savonia,Telia,253,178,87,59,862,561,241,56.1,0,0,0,0,3,3,2,158.9,49,23,16,66.2,14,10,7,195.9,36,22,12,75.3,76,40,20,62.1
Finland Proper,Turku,DNA,1723,1305,705,89.1,3866,2684,1376,79.8,376,269,109,322.1,121,93,44,132.3,168,129,78,119.8,1304,662,188,334.5,556,325,122,72.5,263,189,109,86.7
North Savonia,Varkaus,DNA,236,157,79,52.6,754,488,224,50.3,2,2,2,228.4,3,3,1,65.6,25,19,12,111,8,6,5,265.1,32,23,11,56.5,59,36,20,56
Pirkanmaa,Tampere,NTN,0,0,0,0,5,2,1,51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ostrobothnia,Oulunkaari,Telia,148,115,77,53.5,363,268,139,58.2,0,0,0,0,4,4,3,38.6,20,15,7,42.1,1,1,1,130.5,9,8,8,60.9,12,11,5,45.4
