PostCode,NAME_1,NAME_2,NAME_3,NAME_4,PostCode_Name,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
31140,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31140  Menonen (Urjala),46684731,162,3,48,22408,2935445,134,3,1,0,17
31160,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31160  Nuutajärvi (Urjala),32095651,240,7,51,20390,4363469,202,6,1,2,56
31170,Western Finland,Tavastia Proper,Forssa,Forssa,31170  Savijoki (Forssa),57944359,200,3,50,23670,4023902,148,3,1,1,31
31230,Western Finland,Tavastia Proper,Forssa,Tammela,31230  Susikas (Tammela),81763199,192,2,49,22067,3574849,162,2,1,0,22
31250,Western Finland,Tavastia Proper,Forssa,Tammela,31250  Teuro (Tammela),66701511,213,3,46,29634,5186006,170,3,1,1,49
31300,Western Finland,Tavastia Proper,Forssa,Tammela,31300  Tammela Keskus (Tammela),130442148,3081,24,46,24949,61874717,1300,10,2,5,716
31310,Western Finland,Tavastia Proper,Forssa,Tammela,31310  Mustiala (Tammela),7224141,85,12,47,20931,1590725,73,10,1,7,51
31340,Western Finland,Tavastia Proper,Forssa,Tammela,31340  Porras (Tammela),93774846,526,6,46,23410,10019538,385,4,1,1,73
31350,Western Finland,Tavastia Proper,Forssa,Tammela,31350  Vistinkoski (Tammela),103488538,226,2,51,23014,4510739,211,2,1,0,23
31370,Western Finland,Tavastia Proper,Forssa,Tammela,31370  Eerikkilän Urheiluopisto (Tammela),286460,0,0,0,0,0,13,45,0,98,28
31380,Western Finland,Tavastia Proper,Forssa,Tammela,31380  Letku-Torro (Tammela),103711551,321,3,44,24319,5982584,246,2,1,1,87
31400,Western Finland,Finland Proper,Salo,Somero,31400  Somero Keskus (Somero),160764530,6035,38,49,22610,113594345,2640,16,2,13,2037
31410,Western Finland,Finland Proper,Salo,Somero,31410  Ylöpirtti (Somero),49520298,346,7,47,25612,7299562,241,5,1,1,73
31450,Western Finland,Finland Proper,Salo,Somero,31450  Häntälä (Somero),55597250,351,6,44,26094,7488970,232,4,2,1,57
31460,Western Finland,Finland Proper,Salo,Somero,31460  Hirsjärvi (Somero),53705959,225,4,51,32931,6454457,179,3,1,1,38
31470,Western Finland,Finland Proper,Salo,Somero,31470  Somerniemi (Somero),195904908,650,3,48,26176,13978003,502,3,1,0,95
31490,Western Finland,Finland Proper,Salo,Somero,31490  Terttilä (Somero),51305931,232,5,50,25358,5046177,171,3,1,1,59
31500,Western Finland,Finland Proper,Loimaa,Koski TL,31500  Koski Tl (Koski Tl),200448763,2303,11,49,23055,44426895,1340,7,2,4,869
31520,Western Finland,Finland Proper,Salo,Somero,31520  Pitkäjärvi (Somero),83026445,496,6,44,24891,9807073,375,5,1,1,98
31530,Western Finland,Finland Proper,Salo,Somero,31530  Pyöli (Somero),48158359,313,6,48,24556,6384527,226,5,1,1,54
31600,Western Finland,Tavastia Proper,Forssa,Jokioinen,31600  Jokioinen Keskus (Jokioinen),56203015,3566,63,46,24285,69965133,1504,27,2,22,1252
31610,Western Finland,Tavastia Proper,Forssa,Jokioinen,31610  Vaulammi (Jokioinen),34226440,438,13,46,24560,8694350,252,7,2,1,39
31620,Western Finland,Tavastia Proper,Forssa,Jokioinen,31620  Latovainio (Jokioinen),30861714,387,13,46,25984,8392989,206,7,2,1,40
31630,Western Finland,Tavastia Proper,Forssa,Jokioinen,31630  Minkiö (Jokioinen),54678485,562,10,43,24613,10681891,320,6,2,1,68
31640,Western Finland,Tavastia Proper,Forssa,Humppila,31640  Humppila Keskus (Humppila),126717274,1920,15,47,22220,34996961,1020,8,2,4,513
31650,Western Finland,Tavastia Proper,Forssa,Humppila,31650  Venäjänkangas (Humppila),27978803,261,9,47,25300,5540639,203,7,1,1,35
31700,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31700  Urjala Asemanseutu-Hanhisuo (Urjala),138985105,1396,10,46,23505,26630885,892,6,2,2,235
31720,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31720  Urjalankylä-Kehro (Urjala),46850997,372,8,52,22923,7197950,266,6,1,1,49
31730,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31730  Honkola (Urjala),52280219,114,2,51,25204,2570842,92,2,1,0,23
31750,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31750  Kehro (Urjala),21955795,54,2,55,20986,1028300,50,2,1,0,0
31760,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31760  Urjala Keskus (Urjala),68739036,1846,27,50,22265,34510756,798,12,2,12,845
31810,Western Finland,Pirkanmaa,South Western Pirkanm,Punkalaidun,31810  Oriniemi (Punkalaidun),69596504,390,6,46,22796,7066808,252,4,2,1,67
31830,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31830  Halkivaha (Urjala),62351182,257,4,49,23307,5034291,192,3,1,1,33
31850,Western Finland,Pirkanmaa,South Western Pirkanm,Punkalaidun,31850  Koskioinen (Punkalaidun),28971318,142,5,47,25080,2859105,113,4,1,1,33
31860,Western Finland,Pirkanmaa,Southern Pirkanmaa,Urjala,31860  Tursa (Urjala),67035788,271,4,53,20117,5009058,234,3,1,1,35
31900,Western Finland,Pirkanmaa,South Western Pirkanm,Punkalaidun,31900  Punkalaidun Keskus (Punkalaidun),132031382,1744,13,52,21375,31998134,1019,8,2,4,549
31930,Western Finland,Pirkanmaa,South Western Pirkanm,Punkalaidun,31930  Vanttila (Punkalaidun),33460374,106,3,49,22631,2082078,76,2,1,2,66
31950,Western Finland,Pirkanmaa,South Western Pirkanm,Punkalaidun,31950  Sadonmaa (Punkalaidun),34015200,150,4,49,21201,2628886,106,3,1,1,22
31960,Western Finland,Finland Proper,Loimaa,Loimaan kunta,31960  Orisuo (Loimaa),25023740,62,2,49,21093,1160111,55,2,1,0,0
31970,Western Finland,Pirkanmaa,South Western Pirkanm,Punkalaidun,31970  Kanteenmaa (Punkalaidun),32367981,148,5,46,22264,2805307,107,3,1,1,36
32100,Western Finland,Tavastia Proper,Forssa,Ypäjä,32100  Ypäjä Keskus (Ypäjä),133272554,1991,15,47,22775,37988478,1101,8,2,4,505
32140,Western Finland,Tavastia Proper,Forssa,Ypäjä,32140  Ypäjä Asemanseutu (Ypäjä),43642257,287,7,48,22867,5602429,199,5,1,1,25
32200,Western Finland,Finland Proper,Loimaa,Loimaa,32200  Loimaa Keskus (Loimaa),168495106,8161,48,47,22933,156400473,3125,19,3,23,3819
32210,Western Finland,Finland Proper,Loimaa,Loimaan kunta,32210  Loimaa kk (Loimaa),49347089,2283,46,48,24235,45731404,935,19,2,17,850
32250,Western Finland,Finland Proper,Loimaa,Loimaan kunta,32250  Kojonkulma (Loimaa),35168458,295,8,43,26243,5957075,201,6,1,2,84
32260,Western Finland,Finland Proper,Loimaa,Loimaan kunta,32260  Kojonperä (Loimaa),41440959,158,4,48,21302,2769320,111,3,1,1,26
32270,Western Finland,Finland Proper,Loimaa,Loimaan kunta,32270  Metsämaa-Murto (Loimaa),62151055,464,7,49,23465,8963674,285,5,2,1,83
32280,Western Finland,Finland Proper,Loimaa,Loimaan kunta,32280  Metsäkorpi (Loimaa),26080975,157,6,43,20946,2597294,111,4,1,1,25
32300,Western Finland,Finland Proper,Loimaa,Mellilä,32300  Mellilä (Loimaa),150960310,1222,8,48,23058,23680206,872,6,1,2,255
32410,Western Finland,Finland Proper,Loimaa,Loimaan kunta,32410  Niinijoki (Loimaa),67222170,532,8,45,27638,11939610,316,5,2,2,125
32430,Western Finland,Finland Proper,Loimaa,Alastaro,32430  Ylhäinen (Loimaa),15480966,81,5,49,25307,1720868,75,5,1,1,12
32440,Western Finland,Finland Proper,Loimaa,Alastaro,32440  Alastaro Keskus (Loimaa),122509157,1718,14,50,21467,31363732,980,8,2,5,594
32450,Western Finland,Satakunta,South Eastern Satakun,Vampula,32450  Tammiainen (Loimaa),58645940,257,4,49,22105,4774740,196,3,1,1,35
32500,Western Finland,Finland Proper,Loimaa,Oripää,32500  Oripää Keskus (Oripää),97365639,1158,12,45,24327,21821454,642,7,2,3,337
32520,Western Finland,Finland Proper,Loimaa,Oripää,32520  Latva (Oripää),14089150,146,10,41,29019,3366229,99,7,1,5,70
32560,Western Finland,Finland Proper,Loimaa,Alastaro,32560  Virttaa (Loimaa),61584628,445,7,45,23669,8473547,325,5,1,1,87
32610,Western Finland,Satakunta,South Eastern Satakun,Vampula,32610  Vampula Keskus (Huittinen),90813872,988,11,48,23464,19381301,651,7,2,3,290
32620,Western Finland,Satakunta,South Eastern Satakun,Vampula,32620  Rutava (Huittinen),44909337,361,8,49,21376,6647854,303,7,1,1,61
32700,Western Finland,Satakunta,South Eastern Satakun,Huittinen,32700  Huittinen Keskus (Huittinen),275881363,7640,28,47,22977,145213995,3186,12,2,12,3276
32710,Western Finland,Satakunta,South Eastern Satakun,Huittinen,32710  Sampu (Huittinen),62392871,601,10,43,27496,12813119,355,6,2,4,258
32730,Western Finland,Pirkanmaa,South Western Pirkanm,Äetsä,32730  Keikyä (Sastamala),55674039,709,13,49,22736,13573373,458,8,2,1,75
32740,Western Finland,Pirkanmaa,South Western Pirkanm,Äetsä,32740  Pehula (Sastamala),48307579,1719,36,49,22168,32144268,783,16,2,9,420
32760,Western Finland,Satakunta,South Eastern Satakun,Huittinen,32760  Suttila (Huittinen),30936833,161,5,48,21183,2902107,117,4,1,1,26
32770,Western Finland,Satakunta,South Eastern Satakun,Huittinen,32770  Huhtamo (Huittinen),33995433,222,7,45,21696,3927009,153,5,1,1,37
32800,Western Finland,Satakunta,South Eastern Satakun,Kokemäki,32800  Kokemäki Keskus (Kokemäki),189155849,3823,20,49,22396,72585155,1949,10,2,8,1436
32810,Western Finland,Satakunta,South Eastern Satakun,Kokemäki,32810  Peipohja (Kokemäki),66744658,1760,26,46,22651,32776023,960,14,2,8,506
32830,Western Finland,Satakunta,South Eastern Satakun,Kokemäki,32830  Riste (Kokemäki),43982424,447,10,49,21820,8313412,312,7,1,2,94
32860,Western Finland,Satakunta,South Eastern Satakun,Kokemäki,32860  Korkeaoja (Kokemäki),36895317,146,4,44,24149,2994520,95,3,2,1,22
32910,Western Finland,Satakunta,South Eastern Satakun,Kokemäki,32910  Kauvatsa Asemanseutu (Kokemäki),35351928,291,8,47,21367,5170714,213,6,1,1,31
32920,Western Finland,Satakunta,South Eastern Satakun,Kokemäki,32920  Kauvatsa (Kokemäki),169852940,537,3,53,21182,9849839,416,2,1,0,83
33100,Western Finland,Pirkanmaa,Tampere,Tampere,33100  Tampere Keskus (Tampere),4482750,17738,3957,41,26423,429976331,923,206,19,6435,28845
