Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G11024,E,26.354523,62.136112,GUL,1,0,0
2G11025,E,27.048963,61.828400,GUL,1,0,0
2G11028,E,27.040382,61.553985,GUL,1,0,0
2G11029,E,26.670944,61.675559,GUL,1,0,0
2G11033,E,27.430821,62.391553,GUL,1,0,0
2G11034,E,27.097170,61.166661,GUL,1,0,0
2G11036,E,27.290236,61.895087,GUL,1,0,0
2G11038,E,27.193979,62.120435,GUL,1,0,0
2G11039,E,26.137560,61.751370,GUL,1,0,0
2G11040,E,27.281565,61.426645,GUL,1,0,0
2G11041,E,27.172905,61.765022,GUL,1,0,0
2G11042,E,26.414138,61.429267,GUL,1,0,0
2G11045,E,26.948874,61.929307,GUL,1,0,0
2G11046,E,26.062761,62.036513,GUL,1,0,0
2G11048,E,26.902810,61.534584,GUL,1,0,0
2G11049,E,27.168432,61.292224,GUL,1,0,0
2G11050,E,25.559336,62.257491,GUL,1,0,0
2G11051,E,25.900149,62.147244,GUL,1,0,0
2G11052,E,27.072294,61.665611,GUL,1,0,0
2G11053,E,26.840433,62.330434,GUL,1,0,0
2G11054,E,26.474533,61.514764,GUL,1,0,0
2G11055,E,27.131688,62.267298,GUL,1,0,0
