Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G13022,E,24.722626,62.087457,GUL,1,0,0
2G13023,E,25.161832,61.914726,GUL,1,0,0
2G13024,E,24.348726,61.761335,GUL,1,0,0
2G13025,E,23.571085,61.743102,GUL,1,0,0
2G13026,E,23.514339,61.964820,UL,1,0,0
2G13027,E,23.685718,62.252379,GUL,1,0,0
2G13028,E,24.839081,62.184488,GUL,1,0,0
2G13029,E,23.669514,61.805165,GUL,1,0,0
2G13030,E,24.547415,61.933190,GUL,1,0,0
2G13031,E,23.646991,61.976621,GUL,1,0,0
2G13032,E,23.674359,62.128170,GUL,1,0,0
2G13033,E,23.661862,62.032663,GUL,1,0,0
2G13034,E,24.362863,61.819794,GUL,1,0,0
2G13035,H,25.185255,61.932743,GULN,1,1,1
2G13037,E,24.531093,62.031907,GUL,1,0,0
2G13038,E,24.776103,61.880064,GUL,1,0,0
2G13039,E,23.865640,61.580430,GUL,1,0,0
2G13040,E,24.079572,61.772208,GUL,1,0,0
2G13041,E,23.834073,61.628938,GUL,1,0,0
2G13042,E,23.862566,61.773345,GUL,1,0,0
2G13043,E,23.893801,61.701580,GUL,1,0,0
2G13044,H,23.809298,61.550015,GUL,1,1,0
2G13045,E,24.128114,62.438238,GUL,1,0,0
2G13046,E,24.044823,61.829928,GUL,1,0,0
2G13047,E,23.920354,61.559017,GUL,1,0,0
2G13048,E,23.770420,62.239311,GUL,1,0,0
2G13049,E,24.565516,61.577884,GUL,1,0,0
2G13050,E,23.883556,62.405861,GUL,1,0,0
2G13051,E,24.504554,62.110474,GUL,1,0,0
2G13052,E,24.860723,61.839217,GUL,1,0,0
2G13053,E,25.082658,61.928480,GUL,1,0,0
